City_ID,City,Country,Date,Lat,Lng,Max Temp,Current Description,Humidity,Clouds,Wind Speed,Rain (last 3h),Snow (last 3h)
199,Betsiamites,CA,2020-04-19 20:30:47,48.94,-68.65,41.0,overcast clouds,64,90,6.93,0.0,0.0
200,Kirksville,US,2020-04-19 20:28:36,40.19,-92.58,63.0,clear sky,39,1,13.87,0.0,0.0
201,Quepos,CR,2020-04-19 20:30:48,9.42,-84.17,82.4,moderate rain,61,75,3.36,0.0,0.0
202,Vila,PT,2020-04-19 20:30:48,42.03,-8.16,53.6,few clouds,87,20,4.7,0.0,0.0
203,Woodburn,US,2020-04-19 20:30:48,45.14,-122.86,59.0,overcast clouds,58,90,5.82,0.0,0.0
204,Lazaro Cardenas,MX,2020-04-19 20:29:01,17.96,-102.2,84.36,few clouds,59,24,9.04,0.0,0.0
205,Nelson Bay,AU,2020-04-19 20:30:49,-32.72,152.15,57.0,broken clouds,81,71,6.93,0.0,0.0
206,Pimentel,PE,2020-04-19 20:30:49,-6.84,-79.93,82.4,clear sky,51,4,25.28,0.0,0.0
207,Boa Esperanca Do Sul,BR,2020-04-19 20:29:08,-21.99,-48.39,70.75,light rain,74,6,5.14,0.14,0.0
208,Trincomalee,LK,2020-04-19 20:28:13,8.57,81.23,81.14,clear sky,79,1,6.02,0.0,0.0
209,Hailakandi,IN,2020-04-19 20:30:50,24.68,92.57,71.58,light rain,87,66,1.21,0.86,0.0
210,Thompson,CA,2020-04-19 20:25:23,55.74,-97.86,23.0,light snow,79,90,6.93,0.0,0.0
211,New Norfolk,AU,2020-04-19 20:27:48,-42.78,147.06,48.99,light rain,87,100,5.37,0.0,0.0
212,Bengkulu,ID,2020-04-19 20:28:30,-3.8,102.27,77.49,light rain,84,100,3.58,0.23,0.0
213,Miri,MY,2020-04-19 20:28:14,4.41,114.01,78.8,broken clouds,100,75,3.27,0.0,0.0
214,Sangar,RU,2020-04-19 20:26:03,63.92,127.47,7.16,few clouds,85,19,0.38,0.0,0.0
215,Belaya Gora,RU,2020-04-19 20:30:51,68.53,146.42,4.15,broken clouds,89,84,8.61,0.0,0.0
216,Iquique,CL,2020-04-19 20:30:51,-20.22,-70.14,71.6,few clouds,60,15,17.22,0.0,0.0
217,Tocopilla,CL,2020-04-19 20:30:51,-22.09,-70.2,79.66,few clouds,31,18,6.17,0.0,0.0
218,Durban,ZA,2020-04-19 20:30:52,-29.86,31.03,66.2,clear sky,88,0,9.17,0.0,0.0
219,Katsuura,JP,2020-04-19 20:27:44,35.13,140.3,57.52,light rain,76,100,10.04,0.19,0.0
220,Kusti,SD,2020-04-19 20:30:52,13.16,32.66,82.53,few clouds,13,22,10.09,0.0,0.0
221,West Wendover,US,2020-04-19 20:30:52,40.74,-114.07,62.6,overcast clouds,33,90,14.99,0.0,0.0
222,Vila Franca Do Campo,PT,2020-04-19 20:28:43,37.72,-25.43,59.0,few clouds,62,20,18.34,0.0,0.0
223,Husavik,IS,2020-04-19 20:28:18,66.04,-17.34,46.4,broken clouds,70,63,23.04,0.0,0.0
224,Codrington,AU,2020-04-19 20:28:14,-38.27,141.97,59.27,light rain,83,55,22.26,0.24,0.0
225,Moga,IN,2020-04-19 20:30:54,30.8,75.17,74.21,broken clouds,44,55,4.72,0.0,0.0
226,Alyangula,AU,2020-04-19 20:30:54,-13.85,136.42,73.4,clear sky,100,0,3.09,0.0,0.0
227,Leshukonskoye,RU,2020-04-19 20:27:14,64.9,45.76,31.96,light snow,97,100,4.23,0.0,0.53
228,Urusha,RU,2020-04-19 20:30:54,54.05,122.9,13.82,overcast clouds,81,86,5.61,0.0,0.0
229,Iracoubo,GF,2020-04-19 20:30:55,5.48,-53.2,79.74,light rain,85,100,13.76,2.69,0.0
230,Peniche,PT,2020-04-19 20:30:55,39.36,-9.38,59.0,overcast clouds,80,93,8.01,0.0,0.0
